"cust","x","t.x","litt","sales","first","T.cal"
1,0,0,0,550,2018-08-18,58.2857142857143
2,0,0,0,600,2018-07-23,62
3,5,2,-6.8391789873804,670,2019-02-05,33.8571428571429
4,6,51.5714285714286,7.78378221630057,2950,2018-05-03,73.5714285714286
5,0,0,0,80,2018-12-08,42.2857142857143
6,1,9.85714285714286,2.28819635554195,224,2018-12-31,39
7,0,0,0,130,2019-05-02,21.5714285714286
8,1,0.142857142857143,-1.94591014905531,205.47,2018-01-11,89.5714285714286
9,1,0.142857142857143,-1.94591014905531,230,2017-12-26,91.8571428571429
10,2,2.85714285714286,0.703299552023963,440,2019-06-17,15
11,0,0,0,470,2018-04-09,77
12,0,0,0,80,2019-06-12,15.7142857142857
13,1,0.571428571428571,-0.559615787935423,170,2018-12-27,39.5714285714286
14,1,0.142857142857143,-1.94591014905531,180,2018-01-24,87.7142857142857
15,0,0,0,160,2019-06-20,14.5714285714286
16,0,0,0,144,2018-08-10,59.4285714285714
17,0,0,0,130.8,2019-09-12,2.57142857142857
18,1,19.7142857142857,2.98134353610189,190,2018-06-24,66.1428571428571
19,0,0,0,430,2019-04-02,25.8571428571429
20,11,46.7142857142857,-4.10645978468809,1708,2018-08-06,60
21,0,0,0,78,2019-05-22,18.7142857142857
22,0,0,0,130,2018-07-14,63.2857142857143
23,0,0,0,230,2018-09-08,55.2857142857143
24,0,0,0,120,2019-03-23,27.2857142857143
25,1,0.714285714285714,-0.336472236621213,316,2019-02-03,34.1428571428571
26,3,16,4.72555430624858,448.68,2017-07-13,115.571428571429
27,0,0,0,130,2018-11-07,46.7142857142857
28,4,40.2857142857143,5.65041040098163,500,2018-09-21,53.4285714285714
29,0,0,0,80,2018-12-06,42.5714285714286
30,4,40.1428571428571,3.41586096680458,708.5,2018-12-22,40.2857142857143
31,0,0,0,120,2019-02-23,31.2857142857143
32,0,0,0,70,2019-04-03,25.7142857142857
33,2,16.8571428571429,1.55491707355568,520,2018-09-03,56
34,1,11.2857142857143,2.42353770341171,360,2018-01-12,89.4285714285714
35,0,0,0,100,2018-06-23,66.2857142857143
36,0,0,0,60,2019-09-28,0.285714285714286
37,0,0,0,120,2017-09-03,108.142857142857
38,0,0,0,700,2019-06-03,17
39,0,0,0,800,2018-12-11,41.8571428571429
40,0,0,0,460,2018-06-20,66.7142857142857
41,2,0.285714285714286,-3.89182029811063,349.06,2017-12-03,95.1428571428571
42,1,1,0,350,2019-02-09,33.2857142857143
43,0,0,0,91,2019-01-20,36.1428571428571
44,0,0,0,150,2018-06-28,65.5714285714286
45,1,0.142857142857143,-1.94591014905531,240,2018-12-05,42.7142857142857
46,0,0,0,160,2019-03-16,28.2857142857143
47,1,0.142857142857143,-1.94591014905531,264,2018-12-21,40.4285714285714
48,3,18,5.12832762269103,263,2018-09-21,53.4285714285714
49,0,0,0,80,2018-12-20,40.5714285714286
50,3,45,6.90403993080533,570,2018-07-14,63.2857142857143
51,0,0,0,130,2018-12-06,42.5714285714286
52,0,0,0,110,2018-11-03,47.2857142857143
53,0,0,0,170,2019-08-29,4.57142857142857
54,1,0.142857142857143,-1.94591014905531,110,2018-09-16,54.1428571428571
55,0,0,0,70,2018-04-12,76.5714285714286
56,1,0.142857142857143,-1.94591014905531,260,2019-01-01,38.8571428571429
57,0,0,0,122.64,2018-05-07,73
58,0,0,0,50,2019-05-02,21.5714285714286
59,1,57.2857142857143,4.04805127825126,170,2018-06-06,68.7142857142857
60,0,0,0,329.8,2018-08-30,56.5714285714286
61,0,0,0,260,2018-03-30,78.4285714285714
62,0,0,0,150,2019-05-02,21.5714285714286
63,0,0,0,120,2018-08-30,56.5714285714286
64,0,0,0,160,2019-02-22,31.4285714285714
65,0,0,0,78,2019-09-11,2.71428571428571
66,11,36.8571428571429,0.131580420834951,1138,2018-10-31,47.7142857142857
67,0,0,0,90,2019-03-31,26.1428571428571
68,1,0.142857142857143,-1.94591014905531,130,2018-11-14,45.7142857142857
69,0,0,0,120,2018-09-08,55.2857142857143
70,3,4.85714285714286,-0.277048816150413,530,2019-04-07,25.1428571428571
71,3,18.2857142857143,4.00812799253355,280,2018-11-02,47.4285714285714
72,0,0,0,100,2018-11-08,46.5714285714286
73,0,0,0,80,2019-01-16,36.7142857142857
74,1,4.14285714285714,1.42138568093116,230,2018-09-04,55.8571428571429
75,0,0,0,85,2019-09-28,0.285714285714286
76,2,12.8571428571429,0.596816071621522,560,2019-01-19,36.2857142857143
77,1,1.28571428571429,0.251314428280906,132.07,2017-12-08,94.4285714285714
78,1,5.57142857142857,1.71765149707433,208,2018-10-20,49.2857142857143
79,0,0,0,50,2019-01-25,35.4285714285714
80,0,0,0,80,2018-06-08,68.4285714285714
81,1,0.142857142857143,-1.94591014905531,240,2018-12-31,39
82,2,0.285714285714286,-3.89182029811063,374,2017-12-26,91.8571428571429
83,0,0,0,120,2019-04-22,23
84,0,0,0,180,2018-10-02,51.8571428571429
85,4,50.7142857142857,7.68881416691718,1661,2018-09-09,55.1428571428571
86,1,0.142857142857143,-1.94591014905531,130,2019-03-23,27.2857142857143
87,2,0.285714285714286,-3.89182029811063,250,2019-09-03,3.85714285714286
88,0,0,0,100,2018-06-30,65.2857142857143
89,0,0,0,70,2019-01-26,35.2857142857143
90,0,0,0,70,2018-07-06,64.4285714285714
91,1,0.142857142857143,-1.94591014905531,250,2018-11-15,45.5714285714286
92,1,0.142857142857143,-1.94591014905531,422,2018-01-27,87.2857142857143
93,0,0,0,80,2018-10-20,49.2857142857143
94,0,0,0,160,2019-04-11,24.5714285714286
95,0,0,0,244,2019-05-04,21.2857142857143
96,0,0,0,80,2019-02-15,32.4285714285714
97,1,1.42857142857143,0.356674943938732,156,2018-08-18,58.2857142857143
98,0,0,0,200,2018-04-20,75.4285714285714
99,4,13.1428571428571,-0.344669003825398,855.2,2019-05-04,21.2857142857143
100,3,24.8571428571429,6.08365563489225,372,2018-07-07,64.2857142857143
101,0,0,0,200,2019-07-27,9.28571428571429
102,1,8,2.07944154167984,240,2019-04-25,22.5714285714286
103,0,0,0,106,2018-11-11,46.1428571428571
104,1,0.142857142857143,-1.94591014905531,150,2019-06-23,14.1428571428571
105,0,0,0,60,2019-05-24,18.4285714285714
106,0,0,0,80,2018-12-29,39.2857142857143
107,0,0,0,150,2018-11-09,46.4285714285714
108,0,0,0,350,2018-08-02,60.5714285714286
109,1,4.14285714285714,1.42138568093116,198,2018-02-20,83.8571428571429
110,0,0,0,72,2019-05-27,18
111,1,2.57142857142857,0.944461608840852,180,2018-03-15,80.5714285714286
112,0,0,0,55,2018-09-11,54.8571428571429
113,1,3.57142857142857,1.27296567581289,330,2018-07-07,64.2857142857143
114,31,49.7142857142857,-9.61626697362699,2160,2018-03-12,81
